pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,844.3318499999991
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,818.6739999999994
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,819.7102499999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,819.7542499999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,820.1171499999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,819.6924999999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,819.2533999999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,818.4757999999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,819.0976999999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,819.8911499999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,820.3933499999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,821.0202999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,820.6633499999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,820.1985999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,819.7768499999994
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,820.5926499999994
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,821.3524499999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,822.0779999999997
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,822.5706499999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,822.3329499999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,822.3853999999995
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,821.6306999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,822.6839999999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,822.5585499999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,822.9762999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,823.3153499999996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,823.3790999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,823.0351999999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,822.7248499999998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,823.7015499999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,823.7920499999999
